call,node_depth,var,score,num_candidates,time
211,24,t_x_373,0.3291839228566644,33,12.116746
212,25,t_x_97,0.3290778133744423,32,12.137830
213,26,t_x_150,0.3286823076073712,31,12.159192
214,27,t_x_374,0.32811552122135923,30,12.180391
215,28,t_x_400,0.3277550551348225,29,12.201275
216,29,t_x_411,0.32753300194262525,28,12.222101
217,23,t_x_407,0.3335813800840952,73,12.256562
218,24,t_x_75,0.3306908869598732,72,12.283756
219,25,t_x_373,0.3291839228566644,71,12.330247
220,26,t_x_201,0.3291212094295495,70,12.356266
221,27,t_x_97,0.3290778133744423,69,12.382864
222,28,t_x_150,0.3286823076073712,68,12.429327
223,29,t_x_153,0.32837066835719786,67,12.454918
224,30,t_x_367,0.32833040353733933,66,12.499852
225,31,t_x_374,0.32811552122135923,65,12.525395
226,32,t_x_270,0.32783001401543077,64,12.551088
227,33,t_x_400,0.3277550551348225,63,12.595538
228,24,t_x_197,0.345730583707959,426,12.644933
229,25,t_x_76,0.3397542609479636,65,12.810193
230,26,t_x_25,0.3388881960489056,64,12.835589
231,23,t_x_20,0.3353069744273539,84,12.872851
232,24,t_x_173,0.33433990479887415,83,12.907420
233,25,t_x_342,0.33409322479786047,82,12.961744
234,14,t_x_67,0.33840693255154114,52,13.020366
235,15,t_x_78,0.33629539686852905,51,13.062221
236,16,t_x_20,0.3353069744273539,50,13.086123
237,25,t_x_89,0.3418552133182626,425,13.147272
238,26,t_x_76,0.3397542609479636,100,13.328384
239,27,t_x_83,0.3381592926679389,41,13.378906
240,28,t_x_23,0.33750992239639216,40,13.413080
241,29,t_x_77,0.33679519038950717,39,13.447254
242,30,t_x_80,0.33654528594539296,38,13.481005
243,31,t_x_78,0.33629539686852905,37,13.514178
244,32,t_x_85,0.3329427103660081,36,13.546999
245,33,t_x_86,0.33251677012533615,35,13.579619
246,34,t_x_417,0.33220260282135483,34,13.611863
247,35,t_x_333,0.3316796543199385,33,13.633882
248,36,t_x_75,0.3306908869598732,32,13.655513
249,37,t_x_373,0.3291839228566644,31,13.686867
250,38,t_x_318,0.3286139811380062,30,13.707917
251,39,t_x_367,0.32833040353733933,29,13.728910
252,40,t_x_71,0.32765571981761243,28,13.749582
253,17,t_x_108,0.3520113921409134,56,13.791501
254,18,t_x_25,0.3388881960489056,55,13.833361
255,19,t_x_67,0.33840693255154114,54,13.873666
256,20,t_x_170,0.33769692936302953,53,13.911563
257,26,t_x_178,0.33370108203626037,81,13.946196
258,27,t_x_407,0.3335813800840952,80,13.999050
259,28,t_x_293,0.33349881435358497,40,14.038740
260,29,t_x_86,0.33251677012533615,39,14.062361
261,30,t_x_417,0.33220260282135483,38,14.086072
262,31,t_x_142,0.3279009411221477,37,14.118919
263,32,t_x_411,0.32753300194262525,36,14.142505
264,33,t_x_14,0.3274421151063002,35,14.175913
265,34,t_x_172,0.32742867952012167,34,14.200001
266,35,t_x_10,0.3272199581788964,33,14.222652
267,36,t_x_341,0.32680349009166004,32,14.244771
268,37,t_x_339,0.3264010485281532,31,14.266599
269,38,t_x_1,0.3237047946964038,30,14.288993
270,39,t_x_408,0.3235294581808897,29,14.312609
271,40,t_x_345,0.32350193897925106,28,14.343982
272,22,t_x_159,0.3369646913562073,45,14.384941
273,23,t_x_7,0.3333504982591583,44,14.418253
274,24,t_x_150,0.3286823076073712,43,14.440050
275,25,t_x_62,0.32853857799150243,42,14.461064
276,28,t_x_293,0.33349881435358497,79,14.494679
277,29,t_x_165,0.3325348186944436,78,14.523193
278,30,t_x_86,0.33251677012533615,77,14.574942
279,31,t_x_417,0.33220260282135483,76,14.603906
